accession,start,end,type,strain_id,doi,feature,locus,id,predicted_function
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06756,CNAG_06756-mR_1-CD1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06756,CNAG_06756-mR_1-CD2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06756,CNAG_06756-mR_1-CD3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD10,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD11,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD12,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD4,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD6,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD7,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06761,CNAG_06761-mR_1-CD8,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06770,CNAG_06770-mR_1-CD1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06770,CNAG_06770-mR_1-CD3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06770,CNAG_06770-mR_1-CD4,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06770,CNAG_06770-mR_1-CD5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06770,CNAG_06770-mR_1-CD6,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06770,CNAG_06770-mR_1-CD7,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06770,CNAG_06770-mR_1-CD8,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06770,CNAG_06770-mR_1-CD9,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06777,CNAG_06777-mR_1-CD2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06777,CNAG_06777-mR_1-CD3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06777,CNAG_06777-mR_1-CD4,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06777,CNAG_06777-mR_1-CD5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06777,CNAG_06777-mR_1-CD6,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06777,CNAG_06777-mR_1-CD7,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06777,CNAG_06777-mR_1-CD8,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06790,CNAG_06790-mR_1-CD1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06790,CNAG_06790-mR_1-CD2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06790,CNAG_06790-mR_1-CD3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06790,CNAG_06790-mR_1-CD5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06796,CNAG_06796-mR_1-CD1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06796,CNAG_06796-mR_1-CD2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,CDS,CNAG_06796,CNAG_06796-mR_1-CD3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06739,CNAG_06739-mR_1-ex1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06739,CNAG_06739-mR_1-ex2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06739,CNAG_06739-mR_1-ex3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06739,CNAG_06739-mR_1-ex5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06739,CNAG_06739-mR_1-ex6,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06739,CNAG_06739-mR_1-ex7,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06739,CNAG_06739-mR_1-ex8,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06739,CNAG_06739-mR_1-ex9,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06756,CNAG_06756-mR_1-ex1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06756,CNAG_06756-mR_1-ex2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06756,CNAG_06756-mR_1-ex3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex10,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex11,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex12,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex4,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex6,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex7,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06761,CNAG_06761-mR_1-ex8,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06770,CNAG_06770-mR_1-ex1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06770,CNAG_06770-mR_1-ex3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06770,CNAG_06770-mR_1-ex4,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06770,CNAG_06770-mR_1-ex5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06770,CNAG_06770-mR_1-ex6,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06770,CNAG_06770-mR_1-ex7,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06770,CNAG_06770-mR_1-ex8,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06770,CNAG_06770-mR_1-ex9,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06777,CNAG_06777-mR_1-ex2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06777,CNAG_06777-mR_1-ex3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06777,CNAG_06777-mR_1-ex4,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06777,CNAG_06777-mR_1-ex5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06777,CNAG_06777-mR_1-ex6,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06777,CNAG_06777-mR_1-ex7,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06777,CNAG_06777-mR_1-ex8,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06790,CNAG_06790-mR_1-ex1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06790,CNAG_06790-mR_1-ex2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06790,CNAG_06790-mR_1-ex3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06790,CNAG_06790-mR_1-ex5,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06796,CNAG_06796-mR_1-ex1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06796,CNAG_06796-mR_1-ex2,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,exon,CNAG_06796,CNAG_06796-mR_1-ex3,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,five_prime_UTR,CNAG_06739,CNAG_06739-mR_1-fi1,n/a
AE017342.1,0,191000,DELETION,"MCM 109 - A, MCM 109 - B, MCM 109 - C, MCM 112, MCM 113 - A, MCM 113 - B, MCM 113 - C, MCM 119, MCM 125 - B, MCM 125 - C",0,five_prime_UTR,CNAG_06756,CNAG_06756-mR_1-fi1,n/a
